case_id,psnr_full,ssim_full,mae_full,rmse_full,mask_nonzero_area_fraction,original_mean_mask_nonzero,generated_mean_mask_nonzero,original_std_mask_nonzero,generated_std_mask_nonzero,mae_mask_nonzero,mask_labels
1.000000-P4P117S305I00003 Gated 0.0A-96421-1-58,25.69942038022276,0.7937859357354273,0.09919184844843176,0.2635113983994756,0.35184478759765625,1.2492679362277943,1.056976582503496,0.8215446386924526,0.8515907057054017,0.27225581585590874,0.0|0.5|1.0
1.000000-P4P117S305I00004 Gated 10.0A-28414-1-65,24.814718161163572,0.7652925697975854,0.11349057037349342,0.2839369853486063,0.36560821533203125,1.32940972465204,1.1184612275600154,0.7585363921121182,0.7852400831572732,0.3014205360577345,0.0|0.5|1.0
1.000000-P4P117S305I00005 Gated 20.0A-05991-1-43,27.46925464450618,0.8354134847055572,0.08462352261532047,0.23573877877596647,0.3272895812988281,1.3438337600936516,1.2165712663077586,0.7433928813541993,0.7750615928703399,0.24753289701871933,0.0|0.5|1.0
1.000000-P4P117S305I00006 Gated 30.0A-39820-1-27,27.240557921309637,0.8633547869144114,0.08730636320911334,0.25461064099786174,0.29689788818359375,1.7677419566656756,1.5907484395303488,0.44498396867960255,0.37624313839066265,0.2813195187597779,0.0|0.5|1.0
1.000000-P4P117S305I00008 Gated 50.0A-65210-1-54,25.933711488268347,0.7873363391960716,0.09699975793086768,0.25662140034261516,0.34197235107421875,1.3344478559464568,1.1900053757044669,0.7628672739297783,0.8109345529327313,0.27166150583027393,0.0|0.5|1.0
1.000000-P4P117S305I00009 Gated 60.0A-75309-1-30,26.811358158257068,0.8260198559328839,0.08535509568922617,0.2397350216753039,0.30245208740234375,1.6612034694830158,1.4938872498521019,0.5304285597195542,0.5131812034018886,0.2703609495784718,0.0|0.5|1.0
1.000000-P4P117S305I00009 Gated 60.0A-75309-1-49,25.336276317779557,0.7913432687050546,0.10044286801350077,0.27015405842010676,0.33237457275390625,1.3628945726155008,1.1668223260366515,0.7307706451919844,0.8096964333818989,0.28939477321986423,0.0|0.5|1.0
1.000000-P4P117S305I00009 Gated 60.0A-75309-1-89,23.797968503722178,0.7659132416213575,0.14837156788157557,0.3462294736974044,0.37136077880859375,1.7738690323375537,1.4742793189236367,0.37472849389898566,0.333448722959165,0.39363827293873616,0.0|0.5
1.000000-P4P117S305I00010 Gated 70.0A-77678-1-30,26.253332826528577,0.8343095204009862,0.09126338907898912,0.25493155963782177,0.3028221130371094,1.6563284050338016,1.4387590892435382,0.5293340895982689,0.5439968085504504,0.29055628235886,0.0|0.5|1.0
1.000000-P4P117S306I00005 Gated 20.0A-13540-1-75,22.59302601520954,0.7309685761334791,0.14896430404772332,0.3444887527337148,0.37326812744140625,1.8214010000393446,1.4715234378368656,0.27498760931565525,0.378619761644276,0.39300509341344747,0.0|0.5|1.0
1.000000-P4P117S306I00006 Gated 30.0A-54384-1-69,23.551650257028616,0.7489751511219208,0.15156020070588427,0.3463258406385071,0.3748626708984375,1.7686817524139302,1.4278472265703237,0.3360027613911844,0.43819135458798647,0.3978637157312913,0.0|0.5|1.0
